Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
2	0	0	dev=net(0)	InInterests	0	0
2	0	0	dev=net(0)	OutInterests	147	5.16699
2	0	0	dev=net(0)	DropInterests	0	0
2	0	0	dev=net(0)	InNacks	0	0
2	0	0	dev=net(0)	OutNacks	0	0
2	0	0	dev=net(0)	DropNacks	0	0
2	0	0	dev=net(0)	InData	75	78.0752
2	0	0	dev=net(0)	OutData	0	0
2	0	0	dev=net(0)	DropData	0	0
2	0	1	dev=local(1)	InInterests	147	0
2	0	1	dev=local(1)	OutInterests	0	0
2	0	1	dev=local(1)	DropInterests	0	0
2	0	1	dev=local(1)	InNacks	0	0
2	0	1	dev=local(1)	OutNacks	0	0
2	0	1	dev=local(1)	DropNacks	0	0
2	0	1	dev=local(1)	InData	0	0
2	0	1	dev=local(1)	OutData	75	78.0752
2	0	1	dev=local(1)	DropData	0	0
2	0	-1	all	SatisfiedInterests	75	0
2	0	-1	all	TimedOutInterests	0	0
2	1	0	dev=net(0)	InInterests	106	3.72559
2	1	0	dev=net(0)	OutInterests	0	0
2	1	0	dev=net(0)	DropInterests	0	0
2	1	0	dev=net(0)	InNacks	0	0
2	1	0	dev=net(0)	OutNacks	0	0
2	1	0	dev=net(0)	DropNacks	0	0
2	1	0	dev=net(0)	InData	0	0
2	1	0	dev=net(0)	OutData	106	110.347
2	1	0	dev=net(0)	DropData	0	0
2	1	1	dev=net(1)	InInterests	0	0
2	1	1	dev=net(1)	OutInterests	106	3.72559
2	1	1	dev=net(1)	DropInterests	0	0
2	1	1	dev=net(1)	InNacks	0	0
2	1	1	dev=net(1)	OutNacks	0	0
2	1	1	dev=net(1)	DropNacks	0	0
2	1	1	dev=net(1)	InData	0	0
2	1	1	dev=net(1)	OutData	0	0
2	1	1	dev=net(1)	DropData	0	0
2	1	2	dev=net(2)	InInterests	0	0
2	1	2	dev=net(2)	OutInterests	106	3.72559
2	1	2	dev=net(2)	DropInterests	0	0
2	1	2	dev=net(2)	InNacks	0	0
2	1	2	dev=net(2)	OutNacks	0	0
2	1	2	dev=net(2)	DropNacks	0	0
2	1	2	dev=net(2)	InData	106	110.347
2	1	2	dev=net(2)	OutData	0	0
2	1	2	dev=net(2)	DropData	0	0
2	1	-1	all	SatisfiedInterests	106	0
2	1	-1	all	TimedOutInterests	0	0
2	3	0	dev=net(0)	InInterests	0	0
